"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pk"
"PBANKA_1132600","0.00013 (0.69)","0.025 (0.84)","0.6 (9.9e-74)","0.23 (2.5e-15)","-0.79 (1.5e-43)","0.02 (0.14)","-0.032 (0.53)","-0.069 (8.1e-13)","0.00013 (0.2)","4.8e-05 (0.4)","-0.0023 (0.8)","1.3e-05 (0.85)","6.1e-06 (1)","PF3D7_1356300","PKNH_1115200"
"PBANKA_1133500","3.4e-05 (0.72)","-0.0038 (0.95)","0.16 (1.4e-23)","0.53 (4.1e-99)","-0.25 (1.6e-06)","-0.11 (2e-24)","0.062 (0.23)","-0.07 (3.1e-07)","0.0036 (0.28)","1.1e-05 (0.77)","0.021 (0.8)","6e-05 (0.6)","-5.7e-05 (0.76)","PF3D7_1357200","PKNH_1114300"
"PBANKA_1134300","-0.00099 (0.96)","0.047 (0.053)","0.34 (4.6e-51)","0.4 (2.9e-63)","0.11 (0.073)","-0.35 (1.1e-47)","0.18 (2.1e-05)","-0.12 (3.3e-10)","-0.0022 (0.5)","0.13 (7.7e-06)","0.041 (1)","-0.13 (0.88)","-0.048 (0.63)","PF3D7_1358000","PKNH_1113500"
"PBANKA_1135200","-6.2e-05 (0.7)","0.3 (1.1e-06)","0.094 (0.017)","-0.15 (2.7e-63)","-0.0059 (0.034)","0.00086 (0.029)","0.0078 (0.072)","0.00056 (0.84)","-0.014 (0.04)","6.5e-05 (0.039)","-0.001 (0.8)","-0.00049 (0.61)","0.0055 (0.88)","PF3D7_1358900","PKNH_1112400"
"PBANKA_1135500","0.031 (0.45)","-0.027 (0.65)","0.016 (0.034)","0.42 (5.5e-181)","0.27 (1e-08)","-0.23 (8.4e-24)","-0.2 (8.2e-11)","-0.016 (0.064)","0.032 (0.0012)","-0.13 (2.8e-06)","0.11 (0.8)","0 (1)","0.078 (0.72)","PF3D7_1359200","PKNH_1112100"
"PBANKA_1136300","-0.012 (0.72)","0.63 (2.3e-10)","-0.62 (4.6e-65)","-0.016 (1.1e-05)","0.11 (1e-16)","0.092 (2.7e-10)","0.3 (7.7e-07)","-0.46 (1.8e-26)","-0.00021 (0.75)","-0.0013 (0.38)","0.049 (0.8)","-0.00029 (0.6)","-0.012 (0.95)","PF3D7_1360100","PKNH_1111200"
"PBANKA_1136400","-0.0065 (0.69)","0.001 (0.97)","0.35 (1.5e-101)","-0.11 (2e-25)","-0.14 (2e-19)","0.035 (4.4e-07)","0.69 (5.5e-28)","-0.83 (1.2e-43)","-0.078 (9.1e-05)","1.5e-05 (0.29)","-0.00042 (0.8)","0.00014 (0.6)","-0.018 (0.63)","PF3D7_1360200","PKNH_1111100"
"PBANKA_1136900","-0.013 (0.72)","0.49 (3e-12)","-0.37 (4.8e-73)","-0.00077 (0.79)","0.084 (1.7e-19)","0.027 (0.012)","0.36 (9.2e-13)","-0.56 (6.2e-33)","0.0023 (0.67)","-0.0018 (0.28)","0.041 (0.8)","-2.9e-05 (0.6)","-0.043 (0.76)","PF3D7_1360700","PKNH_1110700"
"PBANKA_1137700","0.055 (0.016)","-0.052 (0.41)","0.57 (2.1e-78)","0.23 (8.3e-31)","-0.3 (6.5e-09)","-0.16 (1.8e-17)","0.26 (2e-05)","0.3 (0.00011)","-0.14 (0.18)","-0.079 (0.02)","0.13 (0.8)","0.16 (0.6)","-0.034 (0.68)","PF3D7_1361700","PKNH_1109600"
"PBANKA_1139300","-0.013 (0.72)","0.011 (0.6)","0.15 (3.7e-17)","0.017 (0.31)","0.38 (5.8e-18)","-0.076 (0.0022)","-0.32 (0.00063)","-0.16 (6.7e-11)","-0.0077 (0.56)","-0.00052 (2.6e-05)","-3e-04 (0.8)","-0.00016 (0.59)","0.00012 (0.63)","PF3D7_1363300","PKNH_1108000"
"PBANKA_1139400","-0.004 (0.7)","-0.0051 (0.63)","0.79 (7.5e-74)","-0.66 (8.2e-121)","-0.0091 (0.65)","-0.043 (1e-12)","0.0024 (0.5)","0.0065 (0.34)","0.0048 (0.78)","-0.00058 (0.048)","0.32 (0.8)","0.00025 (1)","-0.011 (0.86)","PF3D7_1363400","PKNH_1107900"
"PBANKA_1140600","1.5 (1.8e-08)","-0.098 (0.74)","-0.83 (1.1e-121)","-0.0014 (0.54)","0 (1)","0.00066 (0.047)","0.26 (2.4e-11)","-0.072 (1.7e-07)","-0.00051 (1.9e-09)","-0.0011 (0.87)","-0.0047 (0.8)","0.047 (0.6)","-0.041 (0.84)","PF3D7_1364800","PKNH_1106500"
"PBANKA_1141400","-0.023 (0.7)","0.00047 (0.84)","0.013 (4.3e-18)","0.0012 (0.58)","-0.012 (0.0053)","-0.0013 (0.00082)","5e-04 (0.25)","0.011 (0.00035)","1 (3.6e-21)","-1 (4.3e-13)","-0.14 (0.99)","0.058 (1)","-0.097 (0.56)","PF3D7_1365600","PKNH_1105700"
"PBANKA_1141600","0.022 (0.71)","0.0069 (0.65)","0.018 (8.8e-14)","0.003 (0.49)","-0.02 (4.2e-06)","-0.004 (0.00064)","0.0076 (0.016)","0.03 (2.8e-06)","0.93 (1.1e-29)","-0.64 (7.3e-05)","-4.8 (0.8)","-0.97 (0.72)","-0.17 (0.63)","PF3D7_1365800","PKNH_1105500"
"PBANKA_1142700","-0.002 (0.87)","0.015 (0.44)","0.17 (4.5e-30)","-0.18 (2.3e-32)","0.38 (3.2e-20)","-0.097 (1.7e-05)","0.29 (0.004)","-0.13 (4.8e-07)","0.035 (0.14)","-0.0029 (0.89)","0.0015 (0.8)","0.002 (0.6)","-0.029 (0.68)","PF3D7_1366800","PKNH_1104500"
"PBANKA_1142900","-0.0048 (0.7)","0.029 (0.39)","1.1 (3.9e-98)","-0.74 (5e-153)","-0.087 (9.7e-08)","0.054 (9.9e-07)","-0.23 (2.7e-11)","-0.054 (2.3e-13)","0.002 (0.5)","3.4e-05 (0.042)","0.00043 (0.8)","-1e-04 (0.89)","-0.011 (0.63)","PF3D7_1367000","PKNH_1104200"
"PBANKA_1144200","-0.14 (0.22)","-0.0045 (0.87)","0.043 (8.2e-09)","0.35 (5.8e-160)","0.47 (3.6e-23)","-0.16 (1.7e-08)","-0.66 (5.7e-15)","0.00049 (0.92)","0.27 (1e-09)","-0.22 (0.00019)","1.5 (0.8)","0.11 (1)","-0.13 (0.75)","PF3D7_1368300","PKNH_1102900"
"PBANKA_1144300","-0.071 (0.7)","0.011 (0.65)","0.21 (2.2e-62)","0.24 (1.5e-122)","0.42 (5.2e-49)","-0.38 (2.4e-66)","0.16 (0.024)","-0.56 (3e-14)","-0.0086 (0.82)","-0.0047 (0.37)","0.7 (0.8)","-9e-04 (0.6)","-0.0051 (0.97)","PF3D7_1368400","PKNH_1102800"
"PBANKA_1201300","-0.0027 (0.69)","-2.9e-05 (0.84)","-0.0013 (1e-112)","0.00012 (0.11)","0.0037 (0.12)","0.076 (2.5e-29)","0.25 (1.5e-09)","-0.46 (1.3e-29)","0.52 (5.5e-07)","-0.11 (0.093)","0.35 (0.8)","0.085 (0.6)","-0.0039 (0.95)","PF3D7_1002900","PKNH_0801700"
"PBANKA_1201500","-0.0073 (0.72)","0.02 (0.4)","0.15 (2.6e-24)","-0.21 (1.3e-44)","-0.012 (0.27)","0.042 (0.00013)","0.29 (0.00017)","-0.28 (2.2e-09)","-0.023 (0.22)","-1.7e-05 (0.97)","-0.0078 (0.8)","-0.0048 (0.6)","-0.068 (0.73)","PF3D7_1003100","PKNH_0801900"
"PBANKA_1201900","0.27 (5.9e-06)","0.82 (8.9e-08)","-1.2 (1.8e-104)","0.0063 (0.036)","0 (1)","0 (1)","0.0075 (0.0012)","-0.0015 (0.86)","0.018 (0.0095)","-0.0012 (0.85)","0.16 (0.8)","0.0054 (1)","-0.053 (0.79)","PF3D7_1003500","PKNH_0802300"
"PBANKA_1203000","-0.017 (0.69)","0.034 (0.65)","0.61 (1.9e-89)","0.36 (9.6e-46)","-0.59 (1.2e-33)","-0.085 (7.1e-16)","0.0039 (0.16)","-0.00036 (0.93)","0.0084 (0.053)","-0.019 (0.26)","0.059 (0.8)","0.002 (0.6)","0.025 (0.63)","PF3D7_1004700","PKNH_0803400"
"PBANKA_1204400","-0.056 (0.013)","0.55 (2.9e-16)","-0.55 (4.8e-28)","-0.097 (4.7e-32)","-0.0054 (0.47)","-0.013 (7.3e-12)","-0.00015 (0.37)","0.0012 (0.16)","-0.00068 (0.19)","0.0065 (0.017)","0.1 (0.8)","0.23 (0.59)","0.0068 (0.96)","PF3D7_1006200","PKNH_0805000"
"PBANKA_1205000","0.031 (0.00051)","0.25 (1.7e-08)","-0.7 (2.1e-30)","0.0097 (0.2)","0.17 (2.2e-32)","-0.11 (1.5e-84)","0.015 (6.3e-05)","-0.0076 (0.069)","-0.0048 (0.00017)","-0.00026 (0.42)","-0.00093 (0.8)","-0.00054 (0.6)","-0.0047 (0.98)","PF3D7_1006800","PKNH_0805600"
"PBANKA_1205100","-0.016 (0.69)","0.024 (0.013)","0.35 (1.4e-16)","-0.11 (1.5e-42)","-0.054 (1.6e-18)","0.00048 (0.81)","0.0013 (0.71)","-0.0041 (0.53)","0.0015 (0.83)","0.031 (0.13)","0.94 (0.8)","-0.059 (0.58)","0.01 (0.79)","PF3D7_1006900","PKNH_0805700"
"PBANKA_1205200","-0.0059 (0.59)","0.036 (0.4)","0.26 (7.5e-38)","0.31 (2e-52)","0.14 (0.0073)","-0.29 (2e-43)","0.2 (6e-07)","-0.088 (7.9e-09)","0.00023 (0.79)","0.071 (0.092)","-0.12 (0.99)","-0.023 (0.68)","0.0028 (0.96)","PF3D7_1007000","PKNH_0805800"
"PBANKA_1205400","0.0013 (0.017)","0.036 (0.31)","0.47 (2.9e-78)","0.015 (0.51)","0.043 (0.4)","-0.39 (2.3e-47)","0.28 (8e-10)","-0.24 (2.3e-13)","-0.036 (6.7e-05)","0.0014 (0.0029)","0.014 (0.8)","-0.0028 (0.82)","0.0038 (0.71)","PF3D7_1007200","PKNH_0806000"
"PBANKA_1206600","0.012 (0.53)","-0.025 (0.49)","0.83 (1.4e-66)","-0.4 (4.2e-59)","0.058 (0.042)","0.0064 (0.68)","-0.017 (0.86)","-0.43 (1.2e-38)","-0.02 (0.1)","0.0066 (6.9e-05)","0.1 (0.8)","-0.041 (0.6)","0.005 (0.79)","PF3D7_1008400","PKNH_0807400"
"PBANKA_1207200","0.0044 (0.03)","0.21 (0.0022)","-0.24 (1.6e-11)","0.063 (2.2e-11)","-0.14 (9.1e-16)","-0.0056 (0.33)","-0.063 (0.004)","-0.009 (0.0018)","-0.00028 (0.7)","0.00071 (0.033)","-0.0014 (0.8)","0.012 (0.6)","-0.055 (0.72)","PF3D7_1008900","PKNH_0808600"
"PBANKA_1207800","1 (2.1e-06)","-0.93 (5.5e-09)","-0.022 (0.00083)","-0.023 (7.7e-25)","0.011 (0.045)","0.12 (9.6e-52)","-0.0013 (0.98)","-0.043 (0.066)","-0.17 (1.4e-08)","-0.031 (0.27)","0.19 (0.8)","0.15 (0.78)","0.2 (0.42)","PF3D7_1009500","PKNH_0809200"
"PBANKA_1208400","0.11 (0.024)","-0.12 (0.0033)","0.23 (7.4e-33)","-0.17 (3.9e-20)","0.0069 (0.87)","0.18 (8.3e-18)","-0.33 (0.012)","-0.14 (6e-14)","0.0066 (0.39)","0.25 (7.8e-06)","2 (0.8)","-0.84 (0.6)","-0.057 (0.68)","PF3D7_1010000","PKNH_0809800"
"PBANKA_1208800","-0.0016 (0.51)","0.0024 (8.1e-11)","-0.037 (0.13)","0.0042 (0.078)","0.32 (9.8e-23)","-0.18 (2.6e-11)","0.024 (0.47)","-0.09 (4.6e-05)","0.00048 (0.0044)","9.9e-05 (0.035)","0.002 (0.8)","0.00086 (0.6)","0.0017 (0.1)","PF3D7_1010400","PKNH_0810200"
"PBANKA_1209100","0.00035 (0.93)","0.0039 (0.14)","0.029 (0.0029)","-0.0084 (0.58)","-0.011 (0.6)","0.051 (1.3e-06)","0.39 (1.6e-06)","-0.69 (3.9e-33)","-0.037 (0.017)","0.018 (0.61)","-0.085 (0.97)","-0.075 (0.6)","4e-04 (0.97)","PF3D7_1010700","PKNH_0810500"
"PBANKA_1210300","-0.061 (0.69)","0.017 (0.54)","0.26 (1.3e-56)","-0.14 (7.6e-31)","-0.16 (1e-21)","0.0024 (0.78)","0.43 (1.8e-27)","-0.025 (0.68)","-0.3 (0.086)","-0.14 (0.1)","1.3 (0.8)","-0.081 (0.66)","-0.14 (0.31)","PF3D7_1011900","PKNH_0811700"
"PBANKA_1210400","-0.0054 (0.58)","0.0049 (0.28)","0.052 (6.3e-16)","0.15 (9.8e-53)","-0.066 (0.062)","0.021 (0.099)","0.77 (6.1e-20)","-0.34 (1.1e-06)","-0.31 (2.7e-06)","0.00054 (1.9e-19)","-0.00064 (0.8)","-0.00033 (0.64)","0.0062 (0.83)","PF3D7_1012000","PKNH_0811800"
"PBANKA_1212100","-0.00018 (0.42)","0.024 (0.7)","0.33 (4.2e-34)","0.47 (4.3e-56)","-0.65 (5e-40)","0.011 (0.33)","-0.1 (0.059)","-0.049 (1.4e-07)","-0.0011 (0.032)","0.0012 (1.4e-16)","-0.0021 (0.8)","0.00013 (1)","0.036 (0.63)","PF3D7_1013700","PKNH_0813500"
"PBANKA_1213200","-0.00011 (0.7)","0.036 (0.49)","0.031 (0.0081)","0.24 (4.4e-66)","-0.051 (0.24)","-0.1 (2.2e-09)","0.035 (0.2)","-0.13 (4.8e-06)","-0.056 (0.33)","-8.3e-05 (0.52)","0.0016 (0.8)","-0.00016 (0.73)","-0.00073 (0.63)","PF3D7_1014800","PKNH_0814900"
"PBANKA_1215000","-0.093 (0.69)","0.0023 (0.31)","0.057 (3.9e-39)","-0.057 (5.8e-34)","0.032 (3e-07)","0.013 (0.0035)","0.13 (3.4e-11)","0.15 (0.00047)","-0.25 (0.081)","-0.19 (0.014)","1.9 (0.8)","0.41 (0.6)","-0.085 (0.59)","PF3D7_0323500","PKNH_0816900"
"PBANKA_1215600","0.79 (1.1e-09)","0.012 (0.96)","-0.81 (1.5e-90)","0.00029 (0.88)","0 (1)","0 (1)","0.021 (7.7e-07)","-0.019 (2.8e-10)","0.013 (1.3e-06)","-0.03 (3.8e-05)","-8.6e-05 (0.8)","0.045 (0.6)","0.054 (0.7)","PF3D7_0322900","PKNH_0817500"
"PBANKA_1216300","1e-04 (0.46)","0.0026 (0.52)","-0.0052 (0.058)","0.024 (2.7e-58)","0.17 (4.8e-43)","0.085 (0.00019)","-0.078 (0.33)","-0.032 (0.0071)","-0.017 (0.0026)","-1.5e-05 (0.28)","0 (1)","2.7e-05 (1)","0.055 (0.72)","PF3D7_0322200","PKNH_0818600"
"PBANKA_1216800","-0.014 (0.69)","0.024 (0.49)","0.23 (8.4e-38)","0.3 (6e-54)","0.037 (0.49)","-0.18 (8.3e-20)","0.91 (1.2e-17)","-0.39 (3.5e-22)","2e-04 (6.3e-06)","0.19 (1.2e-07)","-0.99 (0.8)","-0.38 (0.6)","-0.082 (0.57)","PF3D7_0321700","PKNH_0819100"
"PBANKA_1217100","-0.0032 (0.94)","3.7e-05 (0.72)","0.00021 (0.57)","0.0058 (4.5e-34)","0.024 (2.2e-10)","0.016 (1.9e-06)","0.17 (0.00013)","-0.055 (0.13)","0.25 (0.062)","-0.052 (0.62)","0.29 (0.87)","-0.21 (0.68)","-0.1 (0.55)","PF3D7_0321400","PKNH_0819400"
"PBANKA_1217600","0.02 (0.86)","-0.017 (0.65)","-0.0074 (5e-11)","-5e-04 (0.027)","0.029 (8.7e-09)","0.063 (6.9e-22)","0.15 (0.0091)","0.63 (2.2e-22)","-0.4 (0.0057)","-0.14 (0.094)","1.1 (0.8)","0.32 (0.6)","-0.25 (0.63)","PF3D7_0320900","PKNH_0819900"
"PBANKA_1217800","-0.00079 (0.71)","0.026 (0.53)","0.96 (2.6e-98)","-0.68 (2.3e-140)","-0.18 (1.3e-20)","0.026 (2.5e-05)","-0.16 (1.7e-09)","-0.017 (0.00041)","-1.4e-06 (1)","0.00012 (1.1e-11)","0.028 (0.8)","-0.00015 (0.6)","-0.0024 (0.91)","PF3D7_0320700","PKNH_0820100"
"PBANKA_1217900","-0.025 (0.17)","0.0014 (0.38)","0.038 (1.5e-15)","-0.055 (4.3e-23)","0.052 (9.4e-05)","0.15 (3.6e-10)","-0.35 (5.8e-06)","-0.036 (0.32)","-0.044 (0.0014)","0.14 (3.2e-10)","-0.61 (0.8)","-0.046 (1)","-0.069 (0.69)","PF3D7_0320600","PKNH_0820200"
"PBANKA_1218400","-0.11 (0.0056)","-0.00029 (0.023)","0.039 (1.1e-11)","-0.031 (1.1e-24)","0.078 (1.2e-15)","-0.0032 (0.74)","0.55 (5.4e-11)","-0.26 (1.7e-12)","1.1 (1.4e-21)","-0.45 (0.00093)","-0.97 (0.8)","0.47 (0.72)","0.033 (0.82)","PF3D7_0320100","PKNH_0821100"
"PBANKA_1219500","-0.49 (0.037)","-0.25 (0.33)","-0.42 (1.3e-43)","-5.3e-05 (0.95)","2e-05 (0.036)","0.013 (0.00025)","-0.059 (0.067)","-0.0089 (0.25)","0.0025 (0.53)","0.21 (0.0054)","1 (0.92)","3.4 (0.59)","1.2 (0.013)","PF3D7_0709000","PKNH_0107600"
"PBANKA_1221100","-0.00019 (0.72)","-0.0025 (0.82)","0.59 (1.7e-67)","-0.57 (1.1e-91)","-0.077 (8.5e-07)","-0.00023 (0.72)","-0.00056 (0.76)","0.001 (0.68)","0.042 (1.4e-05)","-0.0064 (0.14)","-0.0048 (0.8)","-0.00042 (0.91)","0.00057 (0.25)","PF3D7_0710500","PKNH_0109200"
"PBANKA_1222800","0.0037 (0.72)","0.1 (0.055)","-0.38 (1.6e-19)","0.096 (1.2e-24)","-0.13 (9.1e-16)","-0.046 (4.3e-24)","0 (1)","0.0029 (0.11)","0.017 (0.028)","-0.002 (0.38)","0.007 (0.88)","0 (1)","-0.022 (0.79)","PF3D7_0807900","PKNH_0110800"
"PBANKA_1223000","0.015 (0.69)","0.17 (0.019)","0.8 (1.6e-49)","-0.74 (2.6e-171)","0.043 (0.16)","-0.088 (3.3e-15)","-0.043 (0.42)","-0.036 (0.0061)","-0.0054 (0.27)","-0.0033 (0.27)","0.072 (0.8)","4.3e-05 (0.96)","0.069 (0.82)","PF3D7_0807600","PKNH_0111200"
"PBANKA_1223100","-0.049 (0.013)","0.016 (0.78)","0.84 (1.8e-107)","-0.42 (1.1e-45)","-0.25 (3.7e-12)","0.21 (5.6e-32)","-0.35 (3.6e-16)","-0.013 (0.033)","-0.0019 (0.6)","0.078 (1.1e-07)","-0.47 (0.8)","0.18 (0.87)","-0.12 (0.63)","PF3D7_0807500","PKNH_0111300"
"PBANKA_1223300","0.72 (1.8e-08)","-0.27 (0.3)","-0.57 (2.4e-36)","-0.0096 (0.0049)","0.0061 (0.13)","0.021 (8.1e-09)","0.055 (3.9e-07)","-0.029 (1.2e-05)","-0.0079 (0.0062)","-0.0027 (0.37)","0.18 (0.8)","0.078 (0.6)","0.04 (0.88)","PF3D7_0807300","PKNH_0111500"
"PBANKA_1223400","-0.058 (0.66)","0.0028 (0.95)","0.072 (4e-12)","0.41 (4.5e-168)","-0.073 (0.019)","-0.049 (0.016)","-0.055 (0.14)","0.13 (0.0038)","0.36 (0.0028)","-0.65 (4.6e-14)","0.057 (1)","0.18 (0.6)","0.013 (0.79)","PF3D7_0807200","PKNH_0111600"
"PBANKA_1223800","0.06 (0.79)","-1.2 (2.2e-14)","-0.0012 (0.96)","-0.0052 (0.0087)","0.0049 (0.47)","0.051 (6.6e-15)","-0.12 (1.8e-07)","0.045 (0.043)","0.11 (0.0036)","0.17 (0.00054)","0.32 (0.97)","0.61 (0.77)","0.21 (0.68)","PF3D7_0806800","PKNH_0112000"
"PBANKA_1224100","0.24 (0.0072)","-0.3 (1.1e-05)","0.058 (3.2e-17)","-0.055 (5.5e-35)","0.033 (0.00068)","0.11 (2e-13)","0.31 (8.3e-07)","-0.25 (0.0045)","-0.55 (2.4e-10)","-0.013 (0.01)","-0.0012 (0.88)","-0.0015 (0.6)","0.063 (0.7)","PF3D7_0806600","PKNH_0112300"
"PBANKA_1225200","0.0026 (0.87)","0.028 (0.66)","0.59 (9.5e-59)","-0.52 (5.4e-57)","-0.16 (9.8e-07)","-0.00061 (0.71)","-0.0015 (0.16)","-0.0021 (0.12)","-0.0015 (0.61)","0.00041 (0.061)","-0.0076 (0.8)","-0.00019 (1)","-0.00084 (0.54)","PF3D7_0805400","PKNH_0113800"
"PBANKA_1225600","-0.0015 (0.63)","0.039 (0.41)","0.66 (6.7e-66)","-0.47 (2.7e-71)","-0.043 (0.018)","0.013 (0.05)","-0.027 (0.13)","0.0044 (0.17)","0.00093 (0.53)","0.00096 (1.1e-06)","-0.0081 (0.8)","0.00071 (0.93)","0.00074 (0.63)","PF3D7_0805000","PKNH_0114200"
"PBANKA_1226400","0.54 (0.001)","0.47 (0.0037)","-1.3 (3.2e-132)","0.002 (0.56)","0 (1)","0 (1)","0.06 (1.8e-14)","-0.1 (4.3e-21)","-0.0064 (0.086)","0.018 (0.016)","-0.02 (1)","0.22 (0.6)","0.059 (0.89)","PF3D7_0804000","PKNH_0115000"
"PBANKA_1227300","-0.017 (0.81)","-0.00037 (0.93)","0.012 (5.5e-09)","0.022 (7.9e-19)","-0.024 (3.3e-07)","-0.0033 (0.00046)","1.3e-05 (4.3e-05)","0.0015 (0.46)","0.9 (2.6e-18)","-0.84 (1.1e-07)","0.14 (1)","-2.4 (0.6)","-0.17 (0.63)","PF3D7_0802900","PKNH_0116000"
"PBANKA_1229200","1.2 (1.4e-08)","-0.81 (1.1e-06)","-0.8 (2.1e-48)","-0.0014 (0.42)","0 (1)","0 (1)","0.24 (1.2e-34)","-0.14 (2.5e-26)","-0.0055 (0.049)","0.0085 (0.046)","-0.21 (0.8)","0.096 (0.6)","0.25 (0.55)","PF3D7_0614500","PKNH_1135500"
"PBANKA_1229900","0.085 (0.7)","-0.0049 (0.65)","0.092 (8.4e-34)","-0.085 (1.8e-45)","0.07 (1.7e-07)","0.03 (0.24)","-0.034 (0.039)","-0.0038 (0.21)","0.19 (1.8e-07)","-0.73 (2.1e-09)","-0.0039 (0.8)","0.4 (0.6)","0.082 (0.62)","PF3D7_0615200","PKNH_1134800"
"PBANKA_1230300","0.37 (0.23)","-0.15 (0.15)","0.24 (5.8e-14)","-0.11 (7.3e-12)","-0.13 (1.5e-14)","0.012 (2.9e-07)","0.025 (0.16)","-0.027 (1.1e-06)","-0.017 (0.028)","0.096 (0.0073)","0.39 (0.87)","1.3 (0.61)","-0.077 (0.85)","PF3D7_0615600","PKNH_1134400"
"PBANKA_1231000","1.1 (1.8e-08)","-0.045 (0.85)","-1 (1.5e-126)","-0.0023 (0.23)","0 (1)","0.017 (5e-24)","-0.036 (0.00036)","-0.013 (4.5e-06)","-0.0092 (5.7e-05)","0.0013 (0.41)","-0.00014 (0.8)","0.00073 (0.6)","0.16 (0.63)","PF3D7_0516200","PKNH_1017100"
"PBANKA_1231700","-0.02 (0.95)","-0.16 (0.52)","-0.61 (5.1e-29)","0.0051 (0.17)","0 (1)","0.00052 (0.16)","0.0027 (0.16)","0.01 (0.18)","0.073 (5e-05)","0.015 (0.9)","1.1 (0.83)","-0.64 (0.64)","1.3 (0.0017)","PF3D7_0516900","PKNH_1016400"
"PBANKA_1231800","-0.052 (0.82)","0.3 (0.065)","-1.4 (1.7e-107)","0.001 (0.78)","0 (1)","0 (1)","0.18 (1.5e-26)","-0.15 (3.2e-16)","-0.089 (3.4e-12)","0.2 (5.4e-12)","-0.52 (0.86)","0.61 (0.6)","1 (0.00044)","PF3D7_0517000","PKNH_1016300"
"PBANKA_1232800","-0.00029 (0.038)","0.064 (0.31)","0.79 (4.4e-98)","-0.42 (5.4e-98)","-0.12 (1.7e-05)","0.13 (1e-06)","-0.39 (2.6e-12)","0.041 (0.11)","-0.031 (0.025)","-7e-04 (0.34)","-0.00079 (0.8)","-0.00043 (0.61)","4e-05 (0.88)","PF3D7_0518000","PKNH_1015200"
"PBANKA_1234500","0.19 (2e-04)","0.16 (0.31)","-0.016 (0.54)","0.026 (0.25)","0.22 (1.2e-07)","0.059 (0.064)","-0.41 (2.7e-08)","-0.016 (0.54)","-0.065 (2.4e-05)","-0.0058 (0.54)","0.00081 (0.8)","0.048 (0.6)","-0.09 (0.63)","PF3D7_0519700","PKNH_1013400"
"PBANKA_1234800","1.4 (1.8e-08)","-0.79 (4.4e-08)","-0.43 (6e-82)","-0.0033 (0.022)","-0.00014 (0.26)","0.00028 (0.029)","0.0065 (1.2e-05)","-0.0015 (0.0068)","0.024 (1e-09)","0.021 (0.077)","-0.1 (0.89)","0.17 (0.6)","0.19 (0.56)","PF3D7_0520000","PKNH_1013100"
"PBANKA_1236400","-0.072 (0.69)","0.033 (0.71)","0.81 (5.7e-74)","-0.74 (2.5e-114)","-0.066 (0.084)","-0.052 (8.8e-11)","0.0072 (0.34)","0.03 (0.28)","0.75 (2.6e-18)","-1 (1.8e-09)","1.7 (0.8)","-0.29 (0.96)","0.016 (0.89)","PF3D7_0521800","PKNH_1011100"
"PBANKA_1236900","-0.04 (0.72)","0.055 (0.034)","-0.11 (8e-14)","-0.0056 (1.4e-13)","7.2e-06 (0.93)","0.00021 (0.58)","-2e-04 (0.93)","0.19 (6.3e-12)","1.2 (3e-14)","-0.42 (2.4e-06)","2.1 (0.8)","0.43 (0.62)","-0.028 (0.77)","PF3D7_0522200","PKNH_1010700"
"PBANKA_1237000","-0.12 (0.49)","0.18 (0.006)","-0.29 (8.8e-11)","-0.085 (6.3e-62)","0.00061 (0.73)","-0.00091 (0.0065)","-0.0026 (0.037)","0.037 (0.021)","-0.1 (1.2e-06)","0.68 (4e-08)","0.37 (1)","-0.95 (0.75)","0.013 (0.99)","PF3D7_0522300","PKNH_1010600"
"PBANKA_1237100","-0.013 (0.7)","0.0041 (0.23)","0.016 (1e-16)","0.0097 (0.0021)","0.22 (1e-26)","-0.13 (9.4e-10)","0.17 (0.056)","-0.12 (1.1e-06)","0.015 (0.021)","-0.001 (0.32)","0.13 (0.8)","0.12 (0.6)","-0.002 (0.99)","PF3D7_0522400","PKNH_1010500"
"PBANKA_1238400","-0.045 (0.35)","0.039 (0.43)","0.25 (1e-29)","0.16 (1.9e-09)","0.038 (0.52)","-0.12 (2.1e-09)","0.35 (2e-04)","-0.18 (5.1e-11)","0.00044 (0.065)","0.41 (1.3e-07)","-1.7 (0.8)","-0.4 (0.75)","-0.25 (0.15)","PF3D7_0523600","PKNH_1009300"
"PBANKA_1241700","-0.0042 (0.74)","0.0079 (0.86)","0.68 (5.3e-60)","-0.19 (1.9e-13)","-0.061 (0.24)","0.22 (6.1e-21)","-0.34 (3.3e-09)","-0.046 (2.2e-11)","-0.00015 (0.64)","0.00011 (0.12)","-0.0019 (0.8)","-0.00077 (0.58)","-0.00098 (0.2)","PF3D7_0526900","PKNH_1005800"
"PBANKA_1241900","-0.26 (0.25)","0.015 (0.27)","0.5 (1.8e-77)","-0.51 (3.4e-78)","-0.085 (2.8e-05)","0.1 (9.7e-08)","-0.28 (2.6e-16)","0.0084 (0.19)","-0.0056 (0.17)","-0.00055 (0.015)","-0.0033 (0.84)","-0.0033 (0.59)","0.054 (0.63)","PF3D7_0527100","PKNH_1005600"
"PBANKA_1242000","-0.0065 (0.71)","0.032 (0.29)","0.62 (2.9e-96)","-0.19 (2.6e-20)","0.099 (0.035)","-0.13 (2.1e-13)","0.04 (0.16)","-0.013 (0.49)","-0.036 (0.0018)","-7e-04 (0.41)","-0.0011 (0.8)","-0.00082 (0.6)","0.0058 (0.68)","PF3D7_0527200","PKNH_1005500"
