"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pf","pb"
"PKNH_1336500","-0.00019 (2.9e-06)","0.021 (0.49)","0.11 (0.00018)","0.28 (6.3e-24)","-0.0061 (1)","0.0048 (0.73)","0.072 (0.39)","-0.24 (1.2e-55)","-0.00025 (0.87)","0.00038 (8.3e-13)","-0.00061 (0.98)","-0.17 (0.018)","-2e-04 (0.12)","PF3D7_1421400","PBANKA_1021900"
"PKNH_1336700","0.063 (4.7e-07)","0.7 (5.3e-06)","-0.7 (1.3e-18)","-0.099 (6.9e-09)","-4e-05 (1)","-0.00068 (0.14)","0 (1)","5e-04 (0.41)","0.0016 (0.67)","-0.00097 (0.51)","-0.00012 (1)","4.2e-05 (1)","0.0013 (0.32)","PF3D7_1421200","PBANKA_1022000"
"PKNH_1337000","-0.011 (1.1e-05)","0.017 (0.47)","0.19 (2.1e-07)","-0.15 (3.1e-16)","0.056 (3e-08)","-0.027 (3.3e-06)","0.0015 (0.59)","0.032 (0.0021)","-0.063 (0.0015)","-0.0025 (0.37)","0.0095 (1)","-0.086 (0.028)","0.0063 (0.28)","PF3D7_1421000","PBANKA_1022200"
"PKNH_1338400","3.3e-06 (0.098)","7.7e-05 (1.4e-07)","0.058 (1.5e-07)","0.56 (1.9e-71)","0.033 (0.34)","-0.15 (1.5e-29)","-0.3 (1.5e-05)","0.26 (4.9e-20)","-0.27 (7.2e-07)","0.11 (0.14)","0.42 (1)","0.82 (0.75)","-0.21 (0.0063)","PF3D7_1419600","PBANKA_1023600"
"PKNH_1341700","0.079 (1.7e-10)","0.21 (0.00025)","-0.23 (0.001)","-0.074 (2e-07)","-6.4e-05 (0.99)","0.0012 (0.19)","5.1e-05 (0.00053)","0.19 (1.5e-70)","-0.37 (6.6e-41)","0.00011 (3.2e-23)","-0.00019 (0.98)","-0.00011 (0.53)","-2.3e-05 (0.27)","PF3D7_1416400","PBANKA_1026300"
"PKNH_1344300","-0.011 (5.7e-05)","-3.7e-05 (1)","0.056 (3.4e-07)","-0.17 (7.2e-09)","0.072 (0.00062)","0.13 (2.8e-12)","-0.23 (0.002)","-0.019 (0.031)","0.023 (8.2e-14)","-0.0081 (0.0025)","0.011 (0.98)","0.0067 (0.93)","0.017 (0.0034)","PF3D7_1414000","PBANKA_1028700"
"PKNH_1344400","0.0013 (0.00038)","0.00019 (0.54)","0.046 (0.003)","0.14 (7.5e-05)","0.084 (0.13)","0.044 (0.022)","-0.25 (0.0042)","0.58 (3.9e-57)","-0.74 (1e-34)","4.8e-05 (0.57)","0.00017 (0.98)","-0.0014 (0.87)","-0.0019 (0.0052)","PF3D7_1413900","PBANKA_1028800"
"PKNH_1345100","-0.0026 (0.087)","-6.4e-05 (0.036)","0.012 (0.032)","0.069 (9.7e-22)","0.06 (0.016)","-0.043 (6.5e-08)","0.0034 (0.94)","-0.056 (0.00041)","0.53 (1e-34)","-0.35 (1.5e-10)","0.52 (0.88)","0.043 (0.92)","-0.016 (0.34)","PF3D7_1413200","PBANKA_1029400"
"PKNH_1345400","-0.0044 (0.059)","-4.5e-07 (1)","0.11 (6.9e-08)","-0.21 (6.2e-16)","-0.003 (0.71)","-0.0063 (1.8e-06)","-0.001 (0.78)","-0.0016 (0.029)","0.0016 (0.07)","0.012 (0.0043)","0.068 (0.99)","0.032 (0.96)","-0.046 (0.0094)","PF3D7_1412900.1","PBANKA_1029700"
"PKNH_1345900","0.00031 (1.1e-10)","-0.0018 (0.98)","0.041 (0.0026)","0.13 (0.0083)","-0.0082 (0.99)","-0.13 (1.2e-16)","0.075 (0.12)","-0.012 (0.24)","-0.13 (6.6e-11)","-0.0055 (0.17)","0.27 (0.84)","-0.13 (0.32)","-0.009 (0.3)","PF3D7_1412400","PBANKA_1030200"
"PKNH_1346800","0.46 (4.1e-18)","-0.12 (0.38)","0.035 (0.49)","-0.15 (1.1e-18)","-0.00023 (1)","-0.0024 (0.15)","3e-04 (0.78)","0.0027 (0.41)","-0.0033 (0.67)","-0.00014 (0.38)","-1e-04 (0.98)","-0.00017 (0.5)","0.023 (0.28)","PF3D7_1411500","PBANKA_1031000"
"PKNH_1347000","1e-06 (0.00025)","-3.3e-06 (0.98)","0.23 (1.3e-11)","-0.06 (0.29)","-0.17 (3.1e-07)","0.056 (9.9e-06)","-0.33 (1.4e-05)","-0.0088 (0.04)","-0.013 (6.4e-05)","-0.0048 (0.00026)","-6.9e-06 (0.98)","0.00019 (0.65)","1.8e-06 (0.029)","PF3D7_1411300","PBANKA_1031200"
"PKNH_1349800","0.038 (5.8e-17)","0.63 (1.3e-06)","-0.63 (1.8e-16)","-0.11 (2.9e-11)","-4e-05 (1)","-0.00064 (0.14)","0 (1)","0.00062 (0.41)","-0.00015 (0.91)","-0.00026 (2e-06)","0.00059 (0.98)","3.6e-05 (1)","0.003 (0.27)","PF3D7_1408600","PBANKA_1033900"
"PKNH_1350800","1e-05 (0.054)","0.046 (0.47)","0.26 (3.9e-10)","-0.19 (1.6e-17)","-0.0015 (0.99)","-0.012 (1.3e-10)","-0.0027 (0.64)","0.01 (7.9e-13)","-0.018 (2.1e-12)","-0.0025 (0.035)","0.0081 (0.98)","-0.0051 (0.16)","-2.5e-05 (0.013)","PF3D7_1407300","PBANKA_1034900"
"PKNH_1353100","0.083 (1.7e-14)","-0.078 (0.093)","0.036 (0.086)","0.14 (1.6e-09)","-0.00044 (1)","-0.095 (2.6e-28)","-0.02 (0.23)","0.0049 (0.21)","0.014 (0.039)","-0.01 (0.018)","0.16 (0.88)","-0.034 (0.82)","0.00082 (0.94)","PF3D7_1405000","PBANKA_1037200"
"PKNH_1354500","0.0022 (0.067)","-0.0023 (0.19)","-0.00015 (0.9)","0.095 (1.5e-32)","0.36 (1.2e-28)","0.13 (9.7e-13)","-0.25 (0.016)","-0.68 (1.9e-42)","0.004 (0.91)","0 (1)","0 (1)","0 (1)","0.002 (0.27)","PF3D7_1403600","PBANKA_1038400"
"PKNH_1354600","0.00028 (1.4e-06)","-1.4e-05 (0.84)","0.0025 (0.016)","0.042 (1e-06)","0.076 (6e-06)","-0.0089 (0.41)","0.11 (0.022)","-0.31 (2.6e-30)","0.33 (1.2e-08)","-0.091 (0.056)","0.31 (0.98)","-0.057 (0.75)","-0.071 (0.021)","PF3D7_1403500","PBANKA_1038500"
"PKNH_1354700","-0.00057 (1.5e-07)","-0.00082 (0.98)","0.0034 (0.77)","-0.062 (0.033)","0.044 (0.0035)","0.017 (0.15)","0.14 (0.085)","-0.53 (8e-34)","0.028 (0.0019)","0.082 (2.3e-05)","-0.44 (0.98)","-0.65 (0.14)","-0.055 (0.27)","PF3D7_1403400","PBANKA_1038600"
"PKNH_1355100","-0.00037 (0.045)","-0.00012 (0.47)","-0.0011 (0.92)","0.45 (6.1e-24)","-0.19 (0.00014)","-0.0055 (0.71)","-0.051 (0.55)","-0.0026 (0.66)","0.052 (1.9e-05)","-0.052 (0.012)","-0.0015 (0.88)","-0.00086 (0.65)","0.00076 (0.0029)","PF3D7_1403000","PBANKA_1039000"
"PKNH_1355400","1.1e-05 (0.037)","0.021 (0.32)","0.61 (5.9e-22)","-0.55 (1.9e-51)","-0.00033 (1)","0.0039 (0.033)","-0.0094 (0.13)","0.0033 (0.44)","0.074 (4.2e-06)","-0.00028 (0.47)","2.6e-05 (1)","2.1e-06 (1)","1.9e-05 (0.0096)","PF3D7_1402700","PBANKA_1039300"
"PKNH_1355500","0.045 (1.3e-12)","0.52 (2.6e-06)","-0.46 (1.4e-09)","-0.099 (6.3e-09)","-4.4e-05 (1)","-0.00061 (0.14)","0.0028 (0.15)","-0.00041 (0.71)","-0.0012 (0.59)","6.5e-06 (0.33)","3.3e-05 (1)","-0.00077 (0.63)","0.0032 (0.28)","PF3D7_1402500","PBANKA_1039400"
"PKNH_1356100","0.00012 (2.1e-12)","-4.1e-05 (0.52)","0.058 (0.00019)","-0.17 (9.2e-06)","-0.02 (0.12)","0.016 (4.2e-09)","-0.013 (0.44)","-0.0042 (3.9e-05)","0.00015 (0.9)","-1.8e-05 (5.9e-07)","2.9e-05 (0.98)","6.8e-05 (0.075)","8.7e-07 (0.88)","PF3D7_1402000","PBANKA_1039900"
"PKNH_1356200","8.3e-06 (0.023)","-6e-06 (0.98)","0.011 (0.12)","0.33 (8.8e-35)","0.056 (0.35)","-0.21 (1.9e-35)","0.054 (0.22)","-0.062 (0.11)","0.001 (0.91)","-0.064 (0.015)","-0.0015 (1)","0.0011 (0.93)","0.00093 (0.0093)","PF3D7_1401900","PBANKA_1040000"
"PKNH_1031900","-0.00054 (0.76)","-5.4e-05 (0.79)","0.15 (2.9e-09)","-0.23 (6.8e-19)","0.034 (1.6e-05)","0.088 (1.3e-22)","-0.078 (0.099)","-0.13 (2.8e-50)","0.00052 (0.00041)","-9e-05 (0.054)","0.0027 (0.88)","0.0012 (0.65)","0.0036 (0.2)","PF3D7_0502000","PBANKA_1101800"
"PKNH_1031300","-0.00027 (8.3e-07)","2.7e-05 (0.79)","0.021 (0.013)","0.011 (0.66)","0.037 (0.16)","-0.034 (3.8e-05)","0.013 (0.74)","-0.046 (2.2e-12)","-0.0022 (0.48)","-0.0037 (0.61)","-0.048 (0.98)","0.00026 (0.93)","-0.00024 (0.025)","PF3D7_0502600","PBANKA_1102300"
"PKNH_1029900","0.00024 (3e-14)","-0.00014 (0.017)","2.8e-05 (2.1e-07)","8.2e-05 (0.00022)","-1.3e-05 (0.41)","-2.6e-05 (4.3e-20)","-1.2e-05 (0.36)","0.00086 (0.61)","1.2 (5.7e-53)","-0.57 (3e-11)","-0.93 (0.98)","0.064 (1)","-0.3 (0.015)","PF3D7_0503600","PBANKA_1103300"
"PKNH_1029700","2.1e-06 (0.54)","-0.00016 (1)","0.12 (9.6e-05)","-0.026 (0.42)","-0.054 (0.0072)","0.05 (1.7e-15)","-0.1 (0.00084)","-0.0052 (8.6e-05)","0.00013 (1.7e-09)","-2.5e-06 (0.44)","-2.2e-05 (0.99)","9.2e-05 (0.39)","2.3e-06 (0.81)","PF3D7_0503900","PBANKA_1103500"
"PKNH_1029500","0.00042 (1.8e-11)","-0.001 (0.98)","0.087 (2.2e-05)","0.072 (0.14)","-0.049 (0.16)","0.018 (0.055)","-0.15 (0.0012)","0.054 (0.018)","-0.23 (1.1e-25)","0.021 (0.14)","0.3 (0.92)","-0.015 (0.99)","-0.022 (0.055)","PF3D7_0504100","PBANKA_1103700"
"PKNH_1028700","-0.00044 (1.2e-10)","-1e-04 (0.2)","0.021 (0.0077)","0.22 (1.7e-07)","-0.052 (0.36)","0.037 (0.14)","-0.094 (0.38)","-0.03 (0.00023)","-0.024 (0.098)","0.00037 (9.4e-06)","0.0017 (0.98)","0.00041 (0.96)","-0.00016 (0.39)","PF3D7_0504900","PBANKA_1104500"
"PKNH_1027700","-7.9e-05 (0.0042)","1e-05 (0.98)","0.056 (0.031)","0.033 (0.097)","-0.015 (0.68)","-0.057 (6.6e-27)","0.013 (0.31)","-0.014 (0.00016)","-0.013 (1.1e-05)","0.00014 (7.7e-08)","3.5e-05 (1)","-7e-04 (0.019)","2.9e-05 (0.17)","PF3D7_0505900","PBANKA_1105500"
"PKNH_1027500","-0.13 (0.0015)","0.32 (0.018)","-0.073 (0.24)","-0.15 (9.8e-20)","-0.0017 (0.04)","-0.00013 (0.079)","5.8e-06 (0.18)","5.5e-06 (0.0037)","-2.5e-05 (2e-04)","0.00063 (0.32)","0 (1)","0.044 (0.81)","0.097 (0.033)","PF3D7_0506100","PBANKA_1105700"
"PKNH_1025700","-0.01 (0.038)","-0.0011 (0.98)","0.15 (2.1e-07)","-0.32 (7e-14)","-0.012 (0.015)","-1.7e-06 (1)","0.019 (0.065)","-0.0068 (0.015)","0.0051 (0.00036)","0.0016 (0.81)","-0.047 (0.98)","-0.066 (0.019)","0.016 (0.26)","PF3D7_0507900","PBANKA_1107500"
"PKNH_1024600","-0.00027 (8.4e-06)","5.1e-07 (1)","0.1 (3.3e-06)","-0.16 (3.4e-06)","0.087 (0.00012)","-0.011 (0.39)","-0.14 (0.0032)","-0.0012 (0.82)","-0.036 (1.9e-08)","0.00021 (0.00042)","0.00071 (0.99)","-0.16 (0.018)","-0.00016 (0.46)","PF3D7_0509000","PBANKA_1108600"
"PKNH_1024300","6e-05 (0.016)","0.0068 (0.47)","0.32 (8.9e-22)","-0.27 (1.1e-21)","-0.00075 (1)","-0.023 (1.5e-08)","-0.0084 (0.3)","-0.0051 (0.12)","0.00023 (0.6)","0.0042 (0.0016)","0.00052 (1)","-0.047 (0.028)","-0.0049 (0.032)","PF3D7_0509300","PBANKA_1108900"
"PKNH_1023600","-0.074 (0.19)","-0.039 (0.35)","0.0044 (0.78)","0.013 (0.61)","-0.036 (0.045)","0.12 (2.4e-25)","0.39 (0.00054)","-0.79 (9.9e-66)","0.43 (1.8e-11)","-0.0064 (0.52)","0.024 (0.94)","-0.11 (0.22)","0.092 (0.037)","PF3D7_0510000","PBANKA_1109600"
"PKNH_1022500","1.7e-05 (0.15)","-0.00038 (0.014)","-0.011 (0.69)","0.16 (2.8e-15)","0.033 (0.34)","-0.074 (8.6e-24)","-0.03 (0.1)","0.0033 (0.00028)","-0.014 (0.044)","-0.00017 (0.0043)","0.00038 (0.98)","0.00067 (0.027)","-5.4e-05 (0.00043)","PF3D7_0511100","PBANKA_1110600"
"PKNH_1021600","-1.3 (1.4e-10)","-0.31 (0.093)","0.085 (1.7e-07)","0.15 (3.3e-05)","-0.23 (4.2e-10)","-0.018 (0.0043)","0.025 (3.2e-05)","-0.052 (3.1e-21)","0.013 (0.4)","0.52 (9.8e-24)","-0.97 (0.98)","0.35 (0.93)","0.91 (0.0032)","PF3D7_0512000","PBANKA_1111600"
"PKNH_1021500","-0.0045 (0.087)","0.033 (0.26)","0.07 (0.12)","-0.019 (0.56)","-0.079 (1.6e-05)","-0.021 (4.8e-08)","-0.0019 (0.77)","-0.0043 (7e-04)","0.0053 (0.0064)","-0.00083 (0.41)","0.0011 (0.93)","0.00026 (0.92)","0.0067 (0.15)","PF3D7_0512100","PBANKA_1111700"
"PKNH_1020600","-3.1e-07 (0.41)","0.026 (0.26)","0.14 (8.6e-07)","-0.23 (5.8e-07)","-0.044 (0.009)","-0.00028 (0.9)","0.0068 (0.25)","-0.014 (1.5e-19)","-0.0046 (0.43)","-0.0011 (0.058)","9.1e-06 (0.98)","-1e-04 (0.018)","2.5e-06 (0.019)","PF3D7_0512500","PBANKA_1112200"
"PKNH_1020000","-5.8e-05 (2e-04)","-5.4e-05 (1)","-1.6e-05 (0.032)","0.039 (4.8e-12)","0.31 (1.5e-29)","0.2 (6.9e-38)","0.17 (0.16)","-1.1 (2.2e-124)","0.22 (1.3e-18)","-0.086 (1.3e-05)","0.081 (0.98)","0.036 (0.91)","-0.0095 (0.25)","PF3D7_0513100","PBANKA_1112800"
"PKNH_1018500","0.00029 (5.7e-19)","3.1e-05 (0.45)","0.00058 (0.15)","-2e-04 (0.15)","-6.6e-05 (0.38)","1.8e-06 (0.42)","-5.1e-06 (0.58)","0.03 (7.2e-13)","1.3 (1.1e-32)","-0.56 (4.9e-14)","0 (1)","0 (1)","0 (1)","PF3D7_0514600","PBANKA_1114200"
"PKNH_1133900","-0.0088 (0.35)","0.00011 (0.019)","0.0037 (0.53)","0.18 (1.9e-38)","0.17 (4.2e-13)","0.081 (1.6e-09)","0.12 (0.2)","-0.85 (1e-63)","-0.099 (0.0057)","0 (1)","0.043 (0.92)","0.13 (0.38)","0.027 (0.26)","PF3D7_0616100","PBANKA_1115600"
"PKNH_1133800","-0.0068 (5.9e-05)","-0.00038 (1)","0.0053 (0.11)","0.25 (5.2e-34)","0.16 (0.00027)","-0.051 (0.0086)","-0.091 (0.59)","-0.17 (0.00022)","-0.032 (0.0043)","-0.0019 (0.53)","-0.022 (0.98)","-0.17 (0.018)","0.011 (0.0042)","PF3D7_0616200","PBANKA_1115700"
"PKNH_1132800","5.4e-05 (8.6e-08)","0.07 (0.38)","0.58 (1.2e-22)","-0.37 (8.4e-31)","0.0029 (0.071)","-0.0018 (0.0059)","-5.9e-05 (1)","1.5e-05 (0.99)","-0.00013 (0.76)","-7e-06 (0.84)","3.8e-05 (0.98)","0.00012 (0.37)","-4.9e-05 (0.014)","PF3D7_0617200","PBANKA_1116800"
"PKNH_1132700","-0.007 (0.18)","-0.00015 (0.98)","-4e-05 (1.4e-07)","0.0028 (0.12)","0.0053 (0.2)","-0.0015 (0.064)","0.0099 (0.11)","-0.096 (1.5e-06)","0.68 (3.1e-11)","-0.23 (1.6e-06)","0 (1)","0.031 (0.44)","0.029 (0.18)","PF3D7_0617300","PBANKA_1116900"
"PKNH_1132200","-0.00027 (0.13)","0.074 (0.23)","0.61 (2.4e-23)","-0.37 (4.2e-29)","-1.8e-05 (1)","-0.0046 (1.3e-09)","0.00047 (0.57)","-0.0014 (0.14)","0.0024 (0.045)","-0.00064 (0.002)","0.0011 (0.98)","1e-04 (1)","-0.00016 (0.25)","PF3D7_0618200","PBANKA_1117400"
"PKNH_1131800","-0.77 (5e-10)","-0.086 (0.6)","0.24 (1.7e-09)","-0.2 (2e-20)","-0.0026 (0.097)","-0.0023 (0.59)","-0.0012 (0.6)","0.0019 (0.42)","0.01 (0.21)","0.3 (1.1e-15)","-0.2 (1)","-0.49 (0.82)","0.36 (0.013)","PF3D7_0618600","PBANKA_1117800"
"PKNH_1131300","0.00011 (3e-10)","0.34 (0.03)","-0.19 (5.9e-06)","0.03 (6.4e-09)","-0.012 (0.2)","-0.004 (0.083)","0.049 (7.2e-05)","-0.18 (3.3e-27)","0.056 (4.8e-09)","0.0027 (0.55)","-0.024 (0.98)","0.041 (0.35)","-0.00011 (0.28)","PF3D7_0619100","PBANKA_1118300"
"PKNH_1130500","9.2e-07 (0.55)","0.032 (0.47)","0.15 (5.2e-06)","-0.12 (3.1e-16)","0.0049 (0.42)","-0.011 (4.1e-13)","0.0055 (0.2)","-0.00095 (0.0082)","0.0021 (0.58)","-3.1e-05 (1.8e-07)","7.8e-06 (0.99)","0.00033 (0.018)","2e-06 (0.28)","PF3D7_0619800","PBANKA_1119000"
"PKNH_1128200","0.00045 (0.008)","-0.00073 (0.018)","0.035 (0.22)","0.17 (0.0055)","-0.19 (0.0012)","-0.062 (0.0047)","-0.096 (0.46)","-0.13 (6.8e-17)","0.0041 (0.039)","0.0014 (1.2e-19)","-1.4e-05 (0.98)","0.0011 (0.65)","-0.00076 (0.017)","PF3D7_0622000","PBANKA_1120900"
"PKNH_1127100","-0.33 (2e-10)","0.085 (0.018)","0.16 (0.00078)","-0.13 (6.1e-10)","-0.012 (0.076)","-0.0022 (0.13)","0.0021 (0.017)","0.006 (0.33)","0.04 (0.008)","0.53 (4.3e-21)","-0.11 (1)","-0.22 (0.96)","-0.17 (0.27)","PF3D7_0623100","PBANKA_1122000"
"PKNH_1126700","4e-06 (0.22)","-0.00012 (0.98)","0.058 (0.0028)","0.07 (0.017)","-0.11 (1.5e-11)","0.0059 (0.00024)","0.029 (0.014)","-0.051 (1.6e-27)","0.0034 (0.15)","4.2e-05 (0.97)","-0.00014 (0.98)","-9e-05 (0.86)","1.8e-06 (0.84)","PF3D7_0623500","PBANKA_1122400"
"PKNH_1126100","2.1e-05 (0.00046)","-5.1e-05 (0.98)","0.093 (2.1e-07)","0.048 (0.28)","-0.14 (2.7e-07)","-0.053 (1.2e-24)","0.017 (0.11)","-0.015 (6.9e-11)","0.00031 (0.8)","1.6e-05 (0.006)","2.2e-05 (0.98)","-0.07 (0.018)","5.7e-06 (0.55)","PF3D7_0624100","PBANKA_1123000"
"PKNH_1126000","0.00028 (0.82)","2.2e-05 (0.46)","0.17 (2.2e-08)","-0.25 (3.5e-14)","0.064 (3e-04)","0.025 (0.0062)","-0.064 (0.12)","-0.042 (5.2e-11)","-0.00056 (0.8)","3.9e-05 (0.93)","-4.5e-05 (1)","7.5e-05 (0.96)","-2e-04 (0.0056)","PF3D7_0624200","PBANKA_1123100"
"PKNH_1123700","-0.16 (1.3e-05)","-0.016 (0.24)","0.017 (0.032)","0.17 (1.4e-08)","-0.12 (4.9e-10)","-0.01 (1.5e-07)","0.001 (0.16)","0.003 (0.093)","0.002 (0.81)","0.13 (7.2e-05)","-0.93 (0.9)","-0.085 (0.98)","-0.053 (0.56)","PF3D7_0626100","PBANKA_1124900"
"PKNH_1121500","-1.3 (4e-13)","0.13 (0.48)","-0.43 (7.7e-14)","-0.077 (1.9e-12)","0 (1)","-0.00092 (0.81)","0 (1)","0.0045 (0.41)","0.031 (0.085)","0.9 (9.9e-19)","-0.76 (0.99)","-0.46 (0.93)","0.53 (0.022)","PF3D7_0628300.1","PBANKA_1127000"
"PKNH_1119500","-0.0038 (0.052)","0.0011 (0.0015)","0.00052 (1.5e-10)","0.017 (1.5e-05)","-0.0048 (0.1)","-0.00063 (0.081)","0.00038 (0.00036)","4e-04 (0.85)","0.73 (1e-16)","-0.18 (0.11)","-0.12 (1)","0.0011 (1)","-0.24 (0.0024)","PF3D7_0630000","PBANKA_1128800"
"PKNH_1119300","0.00036 (8.1e-20)","0.00024 (0.022)","-0.00016 (0.68)","0.091 (9e-40)","-0.051 (2.5e-05)","0.021 (3.3e-06)","-0.058 (0.063)","-0.026 (5.4e-09)","0.51 (5.7e-33)","-0.53 (1.7e-05)","1.4 (0.98)","1.8 (0.51)","-0.14 (0.13)","PF3D7_0630200","PBANKA_1129000"
"PKNH_1118900","-8.4e-05 (0.069)","0.00013 (0.91)","0.088 (0.00012)","0.35 (1.5e-16)","-0.04 (0.68)","-0.048 (0.068)","-0.13 (0.2)","-0.26 (7e-30)","0.0028 (0.4)","0.00026 (0.38)","0.00019 (1)","-0.0021 (0.93)","0.00019 (0.068)","PF3D7_0630600","PBANKA_1129400"
"PKNH_1118700","-9.8e-05 (0.0058)","0.001 (0.00036)","7.4e-05 (0.99)","0.021 (3.9e-05)","0.05 (0.0011)","0.12 (6.6e-16)","-0.025 (0.91)","-0.29 (4.5e-29)","-5e-04 (0.74)","0.00029 (1.3e-10)","0.00014 (1)","0.0022 (0.073)","-9.1e-05 (0.3)","PF3D7_0630800","PBANKA_1129600"
"PKNH_1118400","0.00025 (5.7e-06)","0.17 (0.0091)","-0.074 (0.24)","-0.021 (0.23)","0.0053 (0.87)","0.024 (0.00042)","-0.16 (3.4e-05)","-0.0092 (0.008)","0.0057 (0.077)","-0.0072 (0.0032)","0.043 (0.89)","0.017 (0.1)","-0.0012 (0.049)","PF3D7_1353300","PBANKA_1129900"
"PKNH_1117800","-0.054 (5e-08)","-0.0051 (0.76)","0.075 (0.00013)","-0.15 (0.00065)","0.15 (0.00071)","-0.11 (2.2e-09)","0.0099 (0.78)","-0.052 (3.9e-16)","0.19 (1.9e-32)","0.15 (6.6e-05)","0.12 (1)","-0.54 (0.32)","-0.25 (0.0025)","PF3D7_1353900","PBANKA_1130500"
"PKNH_1117400","-0.0051 (0.032)","0.00061 (3e-05)","0.1 (0.00044)","0.17 (2e-13)","-0.12 (1.4e-06)","-0.0053 (0.35)","0.015 (0.71)","-0.057 (8.6e-17)","-0.016 (2.6e-05)","7.4e-05 (0.043)","-8e-04 (0.98)","0.00019 (0.96)","0.009 (0.079)","PF3D7_1354400","PBANKA_1131000"
"PKNH_1117200","0.045 (5.8e-12)","0.59 (1.1e-05)","-0.41 (6.7e-13)","-0.048 (1.1e-11)","-0.00049 (0.82)","-3e-04 (0.14)","3.3e-05 (1.1e-07)","0.00024 (0.23)","-0.00068 (0.41)","1.7e-06 (0.67)","2.8e-05 (0.98)","0.00014 (0.019)","0.003 (0.28)","PF3D7_1354600","PBANKA_1131200"
"PKNH_1115200","-8.7e-06 (0.22)","2e-04 (0.07)","-0.00032 (4.6e-05)","0.00018 (0.031)","-0.00015 (0.17)","0.00021 (9.4e-24)","0.00012 (3e-05)","1.1 (2.9e-116)","-1.4 (5.2e-63)","0.0011 (4e-16)","-8.8e-05 (1)","-0.00057 (0.94)","0.00026 (0.2)","PF3D7_1356300","PBANKA_1132600"
"PKNH_1114300","-0.00058 (5.2e-05)","-0.0046 (0.98)","0.094 (2.1e-07)","0.077 (0.15)","-0.29 (1.9e-09)","-0.0037 (0.73)","-0.081 (0.11)","-0.037 (6.5e-09)","5.1e-05 (0.63)","0.00051 (7.5e-21)","-0.00083 (0.98)","-0.00019 (0.98)","0.00027 (0.17)","PF3D7_1357200","PBANKA_1133500"
"PKNH_1113500","-7.3e-05 (0.00031)","-0.0013 (0.22)","0.12 (4.6e-06)","-0.21 (5.1e-06)","-0.042 (0.3)","-0.047 (1e-08)","-0.005 (0.65)","-0.0016 (0.38)","0.00021 (0.0041)","-1.9e-05 (0.8)","0.0015 (0.88)","-2.8e-05 (0.81)","1.9e-06 (0.0087)","PF3D7_1358000","PBANKA_1134300"
"PKNH_1112400","4.7e-07 (0.61)","9.3e-05 (0.11)","0.13 (1.8e-05)","-0.2 (8.3e-13)","0.025 (0.061)","-0.024 (2.7e-07)","-0.0071 (0.62)","-3.7e-05 (0.93)","2.3e-06 (0.81)","-4.9e-06 (0.86)","-4e-06 (1)","2.3e-05 (0.24)","-5.6e-06 (0.00028)","PF3D7_1358900","PBANKA_1135200"
"PKNH_1112100","-0.036 (1e-08)","-0.0042 (0.98)","0.082 (3e-06)","0.0074 (0.86)","-0.0067 (0.99)","-0.066 (2.4e-14)","0.00077 (0.99)","-0.025 (1e-08)","0.0012 (0.17)","0.066 (1.1e-11)","-0.15 (0.98)","-0.14 (0.62)","-0.022 (0.51)","PF3D7_1359200","PBANKA_1135500"
"PKNH_1111200","0.00037 (0.38)","-0.0019 (0.49)","0.031 (0.016)","-0.011 (0.25)","-0.0078 (0.07)","0.0034 (0.055)","-0.0079 (0.47)","0.88 (1.2e-93)","-1.2 (6.4e-45)","0 (1)","0 (1)","0 (1)","0 (1)","PF3D7_1360100","PBANKA_1136300"
"PKNH_1111100","-1.3e-06 (0.93)","0.00059 (0.00017)","0.054 (0.03)","-0.097 (4.2e-07)","0.0062 (0.25)","-0.0083 (6.8e-05)","0.006 (0.36)","0.0068 (0.51)","-0.028 (0.00015)","-1.9e-05 (0.019)","4.2e-05 (0.98)","0.00018 (0.018)","3.4e-06 (0.93)","PF3D7_1360200","PBANKA_1136400"
"PKNH_1110700","-0.37 (0.045)","-0.27 (0.082)","0.2 (0.00011)","-0.21 (2.1e-20)","0.072 (7.3e-10)","0.0012 (0.86)","-0.019 (0.64)","-0.032 (7.5e-15)","0.011 (0.086)","-0.021 (0.48)","0.12 (1)","0.26 (0.86)","0.47 (0.0011)","PF3D7_1360700","PBANKA_1136900"
"PKNH_1109600","0.00069 (7.8e-07)","-6.5e-05 (1)","0.18 (2.1e-07)","0.36 (6.4e-12)","-0.0076 (1)","0.13 (4.9e-09)","-0.71 (7.9e-09)","-0.11 (2.8e-23)","0.012 (0.0018)","0.00053 (0.55)","-0.00013 (1)","-0.18 (0.018)","0.00052 (0.057)","PF3D7_1361700","PBANKA_1137700"
"PKNH_1108000","-0.0022 (0.09)","-0.00053 (0.98)","0.1 (9e-07)","-0.23 (4.3e-10)","-0.012 (0.04)","-0.00075 (0.014)","0.0072 (0.23)","-0.00033 (0.82)","0.0054 (2.8e-09)","0.0024 (0.54)","-0.013 (1)","-0.073 (0.12)","0.0011 (0.81)","PF3D7_1363300","PBANKA_1139300"
