"X0.26","X0.76","X1.3","X1.8","X2.3","X3.2","X4","X4.5","X5","X5.5","X5.8","X5.9","X6.1","pk","pb"
"PF3D7_1146900","-0.00041 (0.68)","-0.00027 (0.42)","0.00027 (1)","0.0052 (0.43)","0.0033 (0.22)","0.0073 (3.7e-06)","0.035 (0.014)","-0.034 (1.9e-17)","9.1e-06 (0.78)","0.001 (4.8e-10)","-0.00058 (1)","2e-04 (0.95)","3.3e-05 (0.95)","PKNH_0944700","PBANKA_0902200"
"PF3D7_1145300","-6.4e-05 (0.84)","0.0057 (1)","0.01 (0.83)","0.024 (2.7e-18)","0.0098 (0.21)","-0.0013 (0.65)","0.049 (0.024)","-0.023 (0.0026)","-0.11 (2.9e-08)","-0.013 (0.25)","-0.00025 (1)","4.7e-05 (1)","3.6e-05 (1)","PKNH_0943200","PBANKA_0903700"
"PF3D7_1145000","-0.019 (0.65)","3.6e-05 (1)","0.002 (0.93)","0.028 (1.1e-08)","-0.00043 (0.96)","-0.0073 (1.8e-10)","0.00022 (0.76)","0.14 (8.6e-16)","-0.1 (1.2e-06)","9.3e-06 (0.82)","6.7e-05 (1)","0.00021 (0.95)","2.7e-06 (1)","PKNH_0942900","PBANKA_0904000"
"PF3D7_1144300","3.8e-05 (0.65)","0.18 (1)","-0.023 (0.82)","-0.094 (7.3e-24)","-0.0038 (0.22)","-0.0017 (0.029)","0.012 (0.4)","-0.00043 (0.052)","-0.00026 (0.45)","2.6e-06 (0.31)","6.3e-06 (1)","9.7e-07 (1)","2.3e-05 (0.26)","PKNH_0942200","PBANKA_0904700"
"PF3D7_1144100","-0.057 (0.65)","0.079 (1)","0.031 (0.81)","0.1 (4.8e-11)","-0.11 (7.8e-11)","-0.0062 (0.0021)","0.025 (0.0055)","-0.017 (2e-12)","-0.00015 (0.0093)","-0.00016 (0.00033)","9.5e-06 (0.85)","6.1e-06 (0.95)","9.4e-07 (1)","PKNH_0942000","PBANKA_0904900"
"PF3D7_1143400","-0.053 (0.65)","-0.028 (1)","-0.015 (0.88)","-0.074 (3e-15)","-0.022 (1.1e-07)","-0.0012 (0.0075)","0.0058 (0.28)","0.061 (4.4e-07)","-0.012 (0.013)","0.00025 (0.86)","1.4e-05 (1)","4.4e-07 (1)","-3.8e-08 (1)","PKNH_0941300","PBANKA_0905600"
"PF3D7_1141800","4.1e-05 (1)","-0.00035 (0.18)","6.9e-05 (0.64)","0.00084 (0.75)","0.034 (6.6e-14)","0.021 (0.0018)","0.23 (0.0012)","-0.2 (0.00079)","-0.016 (0.17)","0.00013 (0.046)","-1.1e-06 (1)","-2.8e-05 (0.95)","-3.5e-07 (1)","PKNH_0939600","PBANKA_0907200"
"PF3D7_1141500","-0.079 (0.65)","2e-04 (1)","-0.0073 (0.93)","0.018 (0.0086)","-0.02 (1.2e-06)","-0.0014 (0.026)","0.0046 (5.5e-05)","-0.014 (1.4e-06)","-0.00071 (0.61)","-0.00054 (2.4e-07)","0.00036 (1)","1.4e-19 (0.95)","0 (1)","PKNH_0939300","PBANKA_0907500"
"PF3D7_1141400","-0.05 (0.65)","0.047 (1)","0.026 (0.81)","0.14 (2.8e-29)","-0.047 (0.1)","-0.03 (0.011)","-0.012 (0.83)","-0.099 (3.2e-12)","-0.0018 (0.69)","1e-04 (3.9e-08)","3.8e-07 (1)","-7e-07 (0.95)","3.2e-07 (0.26)","PKNH_0939200","PBANKA_0907600"
"PF3D7_1140100","6.9e-05 (0.65)","0.0079 (1)","-0.0025 (0.93)","0.009 (0.034)","-0.0071 (0.032)","0.0056 (2.8e-10)","-0.008 (0.25)","-0.0023 (0.057)","-0.0014 (0.45)","2.1e-05 (5.6e-07)","-6.8e-06 (1)","-1.8e-06 (0.95)","-1.4e-06 (0.71)","PKNH_0937900","PBANKA_0908900"
"PF3D7_1135500","5.6e-05 (0.65)","0.0084 (1)","0.037 (0.73)","0.06 (1.1e-08)","0.036 (0.0075)","-0.041 (1e-25)","-0.005 (0.4)","-0.0026 (0.043)","6.5e-05 (2.6e-05)","-8.8e-05 (0.0026)","4.1e-06 (1)","-2.7e-05 (0.95)","8.9e-07 (1)","PKNH_0933700","PBANKA_0913100"
"PF3D7_1134400","1.8e-05 (0.65)","-0.17 (1)","0.023 (0.73)","0.0014 (0.83)","-0.025 (1.4e-08)","0.00084 (0.15)","-0.0028 (0.15)","-0.00029 (0.48)","-5.5e-06 (0.54)","-5.8e-06 (0.057)","2.2e-06 (1)","-1e-06 (1)","1.1e-06 (1)","PKNH_0932600","PBANKA_0914000"
"PF3D7_1131200","-0.044 (0.65)","0.066 (1)","0.027 (0.73)","-0.06 (2.5e-10)","-0.021 (5.9e-06)","0.02 (1.1e-10)","0.14 (1.4e-05)","-0.28 (9e-37)","-0.0018 (0.45)","0.00088 (0.87)","0 (1)","0 (1)","0 (1)","PKNH_0929300","PBANKA_0917000"
"PF3D7_1127600","-0.055 (0.86)","-0.021 (1)","-0.015 (0.74)","0.013 (0.015)","-0.038 (9.3e-10)","-0.0015 (0.00059)","-6.6e-06 (0.08)","0.015 (2.8e-09)","0.62 (2.5e-13)","-0.44 (0.05)","-0.28 (1)","-2 (0.95)","-0.0099 (1)","PKNH_0925600","PBANKA_0920800"
"PF3D7_1127500","-5e-04 (0.65)","-0.00033 (1)","0.0031 (0.83)","0.027 (1.4e-07)","0.082 (6e-09)","-0.032 (0.0039)","-0.02 (0.76)","-0.18 (4.9e-10)","-0.0024 (0.28)","0.00088 (6.7e-08)","-0.00083 (1)","0.00015 (0.95)","2.7e-05 (1)","PKNH_0925500","PBANKA_0920900"
"PF3D7_1126700","-0.25 (0.68)","-0.26 (0.055)","-0.00085 (0.93)","0.00038 (0.2)","0.00035 (0.19)","-0.00048 (1.9e-06)","-0.00013 (0.64)","0.55 (1.9e-71)","-0.67 (0.0038)","0.28 (1.2e-06)","0.2 (1)","0.34 (1)","-0.13 (1)","PKNH_0924600","PBANKA_0921700"
"PF3D7_1125800","1 (0.65)","-0.95 (0.54)","-6.3e-06 (0.9)","0.0011 (1.2e-09)","0.003 (0.00094)","-0.0014 (8.9e-15)","0.0015 (0.02)","-0.0019 (0.029)","0.21 (6.6e-09)","-0.31 (0.019)","0.8 (1)","3.3 (0.95)","0.65 (0.71)","PKNH_0923700","PBANKA_0922500"
"PF3D7_1125000","-0.0034 (0.65)","2.9e-06 (1)","0.0017 (0.96)","0.015 (2.3e-05)","0.0063 (0.13)","-0.0035 (0.0058)","0.0033 (0.56)","-0.0087 (2.9e-05)","-5.7e-06 (0.86)","2.7e-05 (0.023)","-0.00022 (1)","4.1e-05 (1)","3.2e-05 (1)","PKNH_0922900","PBANKA_0923300"
"PF3D7_1124900","0.0085 (0.65)","0.14 (1)","-0.0062 (0.96)","-0.12 (9.1e-38)","-0.0043 (0.16)","0.0027 (6.4e-12)","0.019 (0.066)","-0.0089 (7.7e-23)","8e-05 (0.95)","-0.00014 (0.67)","-3.3e-05 (1)","-4.1e-05 (0.95)","0.0056 (0.26)","PKNH_0922800","PBANKA_0923400"
"PF3D7_1122600","-2.3e-05 (0.99)","8.3e-05 (1)","0.013 (0.76)","0.07 (1.7e-20)","-0.043 (3.6e-07)","-0.0028 (0.13)","0.018 (0.15)","-0.021 (0.0074)","-0.0033 (0.35)","1.2e-05 (0.036)","1.6e-05 (1)","0.00018 (0.95)","2.2e-06 (1)","PKNH_0920400","PBANKA_0925700"
"PF3D7_1122200","-0.025 (0.65)","0.24 (0.95)","-0.0058 (0.95)","-0.069 (2.6e-15)","-0.016 (8.3e-08)","0.00057 (0.00011)","0.00088 (0.51)","0.031 (3.8e-25)","-0.084 (3.3e-10)","-0.00084 (0.58)","3.3e-07 (1)","-3.5e-07 (1)","9.2e-08 (1)","PKNH_0919900","PBANKA_0926100"
"PF3D7_1121600","0.11 (0.65)","0.16 (1)","0.05 (0.73)","-0.17 (3.8e-31)","-0.0085 (0.017)","0.001 (4.5e-13)","0.0026 (0.018)","-0.0043 (0.0022)","0.003 (0.02)","0.17 (6.1e-09)","0.049 (1)","0.35 (0.95)","0.016 (1)","PKNH_0919300","PBANKA_0926700"
"PF3D7_1121100","2e-05 (0.65)","-0.047 (1)","-0.015 (0.88)","-0.027 (1.3e-07)","-0.0064 (0.0084)","-0.00077 (0.56)","0.0057 (0.47)","0.058 (6.4e-08)","-0.016 (0.025)","3.4e-05 (0.00075)","-2.1e-08 (1)","1.4e-09 (1)","-6.2e-08 (0.26)","PKNH_0918800","PBANKA_0927200"
"PF3D7_1120100","0.13 (0.65)","0.022 (1)","-0.015 (0.93)","-0.14 (2.2e-40)","-0.0038 (0.063)","4.7e-06 (0.98)","0.011 (3.2e-07)","-0.015 (1.3e-06)","1.3e-06 (0.45)","3.4e-06 (0.31)","3.1e-20 (1)","0 (1)","2.7e-21 (1)","PKNH_0917800","PBANKA_0928100"
"PF3D7_1120000","0.075 (0.65)","0.99 (0.35)","-0.074 (0.61)","-0.16 (1.5e-69)","-0.0052 (0.11)","0.0014 (2.2e-14)","0.0019 (0.53)","-0.00093 (0.23)","-0.00088 (0.23)","0.0051 (0.017)","0.017 (1)","0.052 (0.95)","0.012 (1)","PKNH_0917700","PBANKA_0928200"
"PF3D7_1118700","6.6e-05 (0.65)","-6.9e-05 (1)","-0.00013 (0.99)","0.0022 (0.062)","0.0068 (0.00055)","0.0085 (1.5e-06)","0.085 (1.5e-05)","0.36 (1.9e-11)","-0.44 (3.5e-07)","0.00011 (4.8e-10)","2e-06 (1)","0.00016 (0.95)","-2e-05 (1)","PKNH_0916400","PBANKA_0929400"
"PF3D7_1116900","0.0026 (0.65)","-0.0021 (0.87)","0.0026 (0.88)","0.027 (7.5e-07)","-0.0063 (0.56)","0.0065 (0.02)","-0.0051 (0.83)","0.36 (2.3e-14)","-0.54 (0.00034)","-0.14 (0.31)","4.2e-06 (1)","-6e-05 (0.95)","-3.4e-07 (1)","PKNH_0914600","PBANKA_0931100"
"PF3D7_1116800","0 (1)","0.37 (0.87)","-0.065 (0.63)","-0.11 (5.7e-33)","-0.014 (1.1e-09)","0.00048 (1.6e-12)","0.00077 (0.47)","-0.00057 (9.2e-08)","-0.00012 (0.8)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0914500","PBANKA_0931200"
"PF3D7_1115900","-3.2e-05 (0.74)","5.9e-05 (1)","0.0016 (0.96)","-0.0035 (0.41)","0.0086 (2.2e-05)","-0.0042 (2e-10)","-0.0023 (0.075)","0.064 (1.4e-22)","-0.019 (0.0028)","0.00012 (1.7e-10)","-2.5e-05 (1)","2.8e-05 (0.95)","-4.1e-06 (1)","PKNH_0913600","PBANKA_0932100"
"PF3D7_1115500","4.6e-05 (0.65)","0.0041 (1)","0.0056 (0.9)","0.039 (7.7e-18)","0.0068 (0.34)","-0.01 (6.9e-06)","0.0034 (0.47)","-0.012 (3.1e-14)","-2.7e-05 (4.1e-05)","-2.7e-06 (5.6e-05)","5.5e-06 (1)","-1.4e-05 (0.95)","1.1e-07 (1)","PKNH_0913100","PBANKA_0932300"
"PF3D7_1115200","3.4e-06 (0.69)","-0.0046 (1)","-0.028 (0.83)","-0.052 (2.8e-12)","-0.003 (0.035)","0.0069 (1e-12)","0.0044 (0.63)","-0.038 (9.5e-12)","-0.016 (0.23)","3.2e-06 (0.21)","1.7e-08 (1)","-1.5e-06 (0.95)","-1.8e-07 (0.84)","PKNH_0912700","PBANKA_0932500"
"PF3D7_1114800","-0.0014 (0.65)","-1e-05 (1)","-0.032 (0.63)","-0.0099 (0.019)","-0.0013 (0.49)","-0.0026 (3.7e-10)","-0.0014 (0.21)","0.11 (1.8e-57)","-0.19 (2e-11)","9.9e-06 (0.47)","-0.00016 (1)","-9.2e-05 (1)","-2.2e-05 (1)","PKNH_0912300","PBANKA_0932900"
"PF3D7_1110800","-4.7e-05 (0.65)","0.00044 (1)","-0.0037 (0.92)","0.0096 (0.018)","-0.00083 (0.81)","-0.00055 (0.4)","0.0066 (0.13)","-0.0059 (0.045)","-0.00046 (8e-10)","-4.1e-06 (0.41)","-9.8e-06 (1)","1.9e-05 (0.95)","-3.6e-06 (0.71)","PKNH_0908500","PBANKA_0936800"
"PF3D7_1110700","1.2e-06 (1)","4.7e-05 (0.18)","-3.5e-05 (0.87)","0.0022 (0.0011)","0.023 (1.9e-05)","0.014 (7e-07)","-0.044 (0.0053)","-0.015 (2.3e-06)","0.21 (0.13)","-0.0055 (0.59)","2.2e-05 (1)","-5.6e-05 (1)","-2e-05 (0.54)","PKNH_0908400","PBANKA_0936900"
"PF3D7_1109400","-3.6e-05 (0.65)","0.082 (0.85)","0.017 (0.89)","-0.088 (4.2e-29)","-0.0032 (0.028)","0.00095 (0.26)","-0.0019 (0.13)","-0.00025 (0.01)","1.3e-06 (0.61)","9e-07 (0.89)","4.8e-06 (1)","1.4e-05 (0.95)","1.4e-21 (1)","PKNH_0906900","PBANKA_0937800"
"PF3D7_1106200","0.00011 (0.65)","-2.4e-05 (1)","-0.0077 (0.93)","0.047 (2.9e-09)","-0.03 (1.1e-05)","0.017 (4.1e-07)","-0.017 (0.35)","-0.039 (1.3e-34)","-2e-05 (0.2)","3.3e-07 (0.96)","-4.7e-07 (1)","6.9e-07 (0.95)","-2.3e-07 (0.71)","PKNH_0903800","PBANKA_0940700"
"PF3D7_1106100","-0.099 (0.65)","0.0041 (1)","-0.0094 (0.92)","0.028 (0.0012)","0.08 (6.1e-06)","-0.021 (0.0021)","0.086 (0.033)","-0.16 (1.4e-28)","-0.0051 (0.33)","-0.0082 (0.54)","-5.5e-05 (1)","9.6e-06 (1)","7.9e-06 (1)","PKNH_0903700","PBANKA_0940800"
"PF3D7_1105500","-0.023 (0.65)","0.0069 (1)","0.02 (0.8)","0.2 (8.7e-53)","-0.085 (0.00028)","-0.026 (0.00062)","0.025 (0.47)","-0.062 (3.6e-16)","-6e-05 (1.3e-07)","8.8e-05 (2.6e-07)","-4.3e-05 (1)","1.1e-05 (0.95)","2.7e-06 (1)","PKNH_0903100","PBANKA_0941400"
"PF3D7_1103100","-0.0046 (0.65)","0.31 (1)","-0.055 (0.76)","-0.26 (6.4e-83)","0.0039 (0.16)","-0.0025 (0.0075)","0.012 (0.28)","-0.0036 (5e-18)","0.0014 (0.37)","0.0014 (0.057)","0.0028 (1)","0.026 (0.95)","0.0012 (1)","PKNH_0900700","PBANKA_0943600"
"PF3D7_0403300","-0.031 (0.65)","0.028 (1)","0.02 (0.88)","-0.018 (0.093)","-0.072 (1.1e-22)","-0.0017 (0.022)","0.02 (2e-06)","-0.0054 (2.2e-06)","-6.7e-05 (1.4e-11)","1.1e-05 (0.023)","-3.1e-20 (1)","0 (1)","2.7e-21 (1)","PKNH_0301100","PBANKA_1000900"
"PF3D7_0403700","-0.15 (0.65)","0.44 (0.95)","0.0074 (0.94)","0.058 (1.2e-06)","-0.1 (2.2e-17)","-0.037 (4e-48)","0.0019 (0.46)","-0.027 (2.9e-06)","-0.0023 (1.8e-08)","0 (1)","0 (1)","0 (1)","0 (1)","PKNH_0301700","PBANKA_1001400"
"PF3D7_0405000","0.0099 (0.65)","0.23 (0.9)","-0.016 (0.9)","-0.059 (3.2e-17)","-0.0035 (0.0099)","0.00034 (0.02)","0.012 (4.1e-10)","-0.0067 (0.12)","-0.041 (0.015)","-0.013 (0.19)","-0.0097 (1)","-0.011 (0.95)","-0.0019 (1)","PKNH_0303100","PBANKA_1002700"
"PF3D7_0405200","-0.061 (0.65)","-0.00013 (0.18)","0.026 (0.78)","0.085 (4.3e-22)","0.0068 (0.7)","-0.032 (4.6e-05)","-0.03 (0.26)","0.081 (8.6e-08)","0.29 (0.058)","-0.051 (0.27)","-0.022 (1)","0.00023 (0.95)","-3.6e-06 (1)","PKNH_0303300","PBANKA_1002900"
"PF3D7_0405600","2.6e-05 (0.68)","0.03 (1)","0.04 (0.71)","0.014 (0.049)","-0.045 (8.6e-20)","-0.00031 (0.63)","0.0033 (0.00013)","-0.0038 (5e-05)","-1.6e-05 (0.079)","1.8e-05 (0.002)","-3.7e-05 (1)","-7.6e-05 (0.95)","-3.6e-08 (1)","PKNH_0303700","PBANKA_1003300"
"PF3D7_0405900","0.00033 (0.65)","-3.1e-05 (1)","-0.0019 (0.73)","0.016 (7.8e-24)","0.0089 (0.0058)","-0.0054 (2e-06)","0.046 (1.7e-06)","0.4 (4.5e-17)","-0.45 (2e-07)","0.001 (1.5e-10)","6.3e-07 (1)","5.7e-06 (0.95)","-4.1e-07 (1)","PKNH_0304000","PBANKA_1003600"
"PF3D7_0406400","2.7e-05 (0.65)","0.011 (1)","0.0071 (0.93)","-0.022 (0.0021)","-0.0091 (0.024)","-0.0011 (0.016)","0.0039 (0.2)","0.096 (5e-28)","-0.18 (7.3e-07)","5.2e-05 (1.9e-07)","8.9e-06 (1)","4e-05 (0.95)","4.4e-07 (1)","PKNH_0304400","PBANKA_1004000"
"PF3D7_0406700","-2.1e-05 (0.93)","0.0052 (1)","0.0095 (0.85)","0.17 (1.3e-50)","0.048 (0.083)","-0.023 (0.047)","0.19 (0.03)","-0.18 (2.1e-14)","0.0081 (0.33)","-0.036 (1e-04)","-0.012 (1)","2.3e-05 (1)","1.6e-05 (1)","PKNH_0304700","PBANKA_1004300"
"PF3D7_0407200","-0.034 (1)","-0.74 (0.011)","-0.021 (0.83)","-0.053 (2e-11)","-0.022 (1.5e-06)","-0.0042 (4.7e-19)","0.00026 (0.53)","-0.00055 (0.009)","0.023 (0.0042)","1 (1.7e-10)","1.2 (1)","2.1 (0.95)","-0.12 (1)","PKNH_0305200","PBANKA_1004800"
"PF3D7_0408300","-0.0082 (0.65)","0.34 (0.7)","0.0019 (0.99)","0.038 (4e-04)","-0.0077 (0.57)","0.0099 (0.022)","-0.045 (0.04)","0.39 (6.5e-40)","-1.1 (1.1e-15)","1.1e-05 (0.01)","-3.6e-06 (1)","9.4e-06 (0.95)","8.8e-07 (1)","PKNH_0306300","PBANKA_1005900"
"PF3D7_0410600","6.6e-05 (0.65)","-0.00013 (1)","0.0062 (0.95)","-0.039 (0.00032)","-0.018 (0.00014)","-0.00021 (0.053)","2.4e-05 (0.082)","0.26 (3.6e-38)","0.28 (0.2)","-0.21 (0.0021)","-0.00025 (1)","-0.00033 (0.95)","1e-04 (0.45)","PKNH_0308700","PBANKA_1008000"
"PF3D7_1436600","0.5 (0.65)","-0.73 (0.02)","0.0012 (0.93)","0.011 (6.2e-06)","0.0021 (0.69)","0.00094 (0.76)","-0.00042 (0.96)","0.027 (0.029)","1.8 (9e-19)","-0.52 (0.046)","-0.83 (1)","-0.99 (0.95)","0.28 (1)","PKNH_0423200","PBANKA_1008200"
"PF3D7_1434400","-5.4e-05 (0.84)","-6.6e-05 (1)","-1.3e-06 (0.98)","0.0043 (9.6e-06)","-0.001 (0.5)","-0.002 (1.3e-05)","0.0022 (0.39)","0.89 (5.7e-71)","-1.4 (1.3e-09)","2e-04 (3.3e-05)","0.00037 (1)","0.00058 (0.95)","-6.7e-06 (1)","PKNH_0421000","PBANKA_1010400"
"PF3D7_1434000","-0.017 (0.65)","0.13 (0.87)","-0.042 (0.73)","-0.061 (1.5e-11)","-0.041 (1.1e-08)","7.2e-05 (0.94)","-0.0028 (0.086)","0.00024 (0.18)","-8.3e-06 (0.39)","7.2e-05 (1.4e-08)","4.5e-06 (1)","7.6e-05 (0.95)","8.7e-06 (1)","PKNH_0420600","PBANKA_1010800"
"PF3D7_1433600","4.8e-05 (0.65)","-6.4e-05 (1)","0.0067 (0.93)","0.02 (0.021)","-0.02 (0.0026)","-0.0031 (0.13)","-0.013 (0.0089)","-0.0014 (0.012)","-0.00014 (2e-10)","1.5e-07 (0.86)","-1.3e-06 (1)","1.8e-06 (0.95)","-6.1e-07 (0.71)","PKNH_0420200","PBANKA_1011300"
"PF3D7_1432700","-0.011 (0.65)","-0.0026 (1)","0.055 (0.64)","0.083 (1.9e-06)","-0.11 (1.4e-07)","0.0088 (0.3)","0.01 (0.78)","-0.074 (1.1e-27)","4.2e-05 (1.5e-05)","-4.3e-05 (7.1e-05)","-5.2e-05 (1)","7.9e-05 (0.95)","-3e-05 (0.71)","PKNH_0419300","PBANKA_1012200"
"PF3D7_1432400","-0.037 (0.65)","0.016 (1)","0.0061 (0.9)","0.067 (5.6e-47)","0.07 (1.2e-10)","-0.051 (5.2e-45)","-0.0071 (0.28)","0.084 (4.2e-24)","-0.12 (1.8e-05)","-0.0025 (0.58)","-0.00015 (1)","2.8e-05 (1)","2.3e-05 (1)","PKNH_0419000","PBANKA_1012500"
"PF3D7_1431700","0.0062 (0.65)","0.11 (1)","-0.0091 (0.93)","-0.093 (4.2e-38)","-0.0019 (0.47)","0.0034 (9e-19)","0.017 (0.033)","-0.013 (1.4e-21)","-0.00074 (0.46)","3.6e-06 (0.32)","8.4e-07 (1)","-1.1e-06 (0.97)","6.6e-06 (0.26)","PKNH_1327000","PBANKA_1013100"
"PF3D7_1430200","-0.018 (0.65)","-4.4e-05 (1)","0.014 (0.83)","0.018 (3.9e-11)","0.013 (0.015)","-0.0018 (0.43)","0.026 (0.13)","0.15 (0.017)","-0.094 (0.028)","-0.015 (0.22)","1.9e-06 (1)","7.7e-06 (0.95)","-6.1e-07 (1)","PKNH_1328500","PBANKA_1014500"
"PF3D7_1430100","0.00014 (0.65)","-0.00017 (0.28)","-0.026 (0.63)","-0.0088 (0.049)","-0.0036 (0.062)","0.001 (0.00098)","0.043 (3.5e-13)","0.12 (1.6e-10)","-0.12 (0.0031)","0.074 (0.45)","-0.26 (1)","-0.98 (0.95)","4.9e-06 (1)","PKNH_1328600","PBANKA_1014600"
"PF3D7_1427300","-0.31 (0.65)","-0.16 (0.023)","0.0083 (0.76)","0.12 (5.7e-29)","-0.035 (0.076)","0.03 (0.00011)","0.21 (0.0016)","-0.25 (3.3e-35)","0.23 (2.3e-08)","-0.65 (2.9e-05)","-1.4 (1)","-1.3 (0.95)","0.022 (1)","PKNH_1331400","PBANKA_1017300"
"PF3D7_1425300","0.2 (0.65)","-0.36 (0.64)","0.016 (0.81)","0.027 (2.7e-05)","-0.032 (7.5e-06)","0.0095 (1.6e-11)","0.039 (0.012)","-0.039 (8.6e-10)","0.35 (3.4e-12)","-0.41 (0.00011)","-0.13 (1)","-0.0076 (1)","-0.078 (1)","PKNH_1333300","PBANKA_1019200"
"PF3D7_1423300","0.1 (0.98)","-0.52 (0.43)","5.9e-06 (0.93)","0.0024 (1.3e-09)","-0.0019 (4.6e-05)","1.5e-05 (0.8)","0.00034 (0.72)","1.1 (1.4e-91)","-1.1 (5.3e-09)","0.67 (2.4e-07)","3.9 (0.99)","2.3 (0.95)","-0.51 (0.58)","PKNH_1334700","PBANKA_1020100"
"PF3D7_1422000","-0.018 (0.65)","0.075 (0.95)","0.023 (0.75)","0.03 (0.0028)","-0.052 (1.1e-07)","-0.0046 (0.072)","0.004 (0.71)","-0.023 (0.0037)","-0.015 (0.01)","9.3e-07 (0.68)","1.6e-06 (1)","2.7e-06 (0.95)","2.2e-07 (1)","PKNH_1336000","PBANKA_1021400"
"PF3D7_1421400","-5.2e-06 (0.98)","0.078 (1)","-0.064 (0.57)","-0.059 (7.9e-22)","-0.0019 (0.029)","8.2e-05 (0.29)","0.0022 (0.031)","1e-04 (0.85)","0.005 (0.2)","-7.7e-05 (2.4e-05)","1.1e-05 (1)","1.9e-06 (1)","9.1e-07 (1)","PKNH_1336500","PBANKA_1021900"
"PF3D7_1421200","0.06 (0.65)","-0.0054 (1)","0.025 (0.85)","-0.048 (1.2e-06)","-0.026 (4.7e-06)","0.00014 (0.0028)","3.7e-05 (0.89)","-0.00035 (0.67)","-0.00022 (0.27)","2.1e-06 (0.92)","-5.5e-05 (1)","1e-05 (1)","4e-05 (0.26)","PKNH_1336700","PBANKA_1022000"
"PF3D7_1419600","-0.11 (0.65)","-0.0054 (0.15)","-0.016 (0.77)","0.0087 (0.096)","-0.0069 (0.19)","-0.0038 (0.015)","-0.00015 (0.98)","-0.019 (2.6e-13)","0.25 (2.1e-10)","-0.33 (7.4e-05)","-0.27 (1)","-0.24 (1)","0.00016 (1)","PKNH_1338400","PBANKA_1023600"
"PF3D7_1416400","-0.00054 (0.65)","-2e-05 (1)","-0.0047 (0.93)","-0.0039 (0.31)","0.068 (5e-49)","-0.035 (1.7e-33)","-0.022 (4.4e-05)","-0.00086 (0.04)","1.6e-05 (0.026)","-5.8e-05 (2.9e-06)","0 (1)","0 (1)","0 (1)","PKNH_1341700","PBANKA_1026300"
"PF3D7_1415200","-5e-05 (0.65)","0.00057 (1)","-0.033 (0.73)","-0.032 (6.2e-09)","-0.0017 (0.063)","-9.2e-05 (0.067)","-8.3e-06 (0.56)","-2.1e-05 (0.018)","0.33 (6.1e-15)","-0.087 (0.31)","3.3e-05 (1)","6.8e-06 (1)","-1.3e-05 (1)","PKNH_1342900","PBANKA_1027500"
"PF3D7_1414500","-0.024 (0.82)","0.4 (0.84)","-0.0052 (0.96)","-0.082 (9.3e-23)","-0.0047 (0.21)","0.013 (8.6e-07)","0.015 (0.28)","-0.0098 (0.21)","0.31 (1e-07)","-0.041 (0.21)","0 (1)","0 (1)","0 (1)","PKNH_1343600","PBANKA_1028200"
"PF3D7_1408600","0 (1)","0.19 (0.9)","0.03 (0.81)","-0.11 (9.1e-23)","-0.011 (0.00072)","0.0071 (7.3e-16)","0.033 (0.0084)","-0.025 (9.5e-17)","3.2e-05 (1.4e-10)","-2.3e-05 (0.00038)","0 (1)","0 (1)","0 (1)","PKNH_1349800","PBANKA_1033900"
"PF3D7_1403500","6.6e-05 (0.98)","-0.00015 (1)","0.013 (0.76)","0.072 (1.8e-21)","-0.044 (9.9e-06)","0.049 (8.4e-29)","-0.046 (0.12)","0.092 (3e-11)","0.5 (6.6e-05)","-0.078 (0.0074)","-0.00054 (1)","-0.00036 (0.95)","-5.2e-05 (1)","PKNH_1354600","PBANKA_1038500"
"PF3D7_1403400","2.1e-05 (0.65)","-0.0063 (1)","0.023 (0.74)","0.12 (6.4e-25)","-0.086 (1.3e-05)","0.019 (0.047)","-0.065 (0.17)","-0.027 (0.0028)","-0.019 (0.027)","-0.00042 (0.58)","3.2e-07 (1)","-9.5e-08 (1)","7.3e-07 (0.26)","PKNH_1354700","PBANKA_1038600"
"PF3D7_1402700","-2.8e-05 (0.65)","0.19 (1)","-0.05 (0.75)","-0.15 (1.9e-49)","0.00049 (0.81)","0.0063 (5.6e-09)","-0.0019 (0.78)","-0.0079 (7.1e-16)","0.00093 (0.54)","-0.00039 (0.52)","2.7e-06 (0.85)","4.3e-07 (1)","-1.5e-07 (1)","PKNH_1355400","PBANKA_1039300"
"PF3D7_1402500","0.0084 (0.65)","0.12 (1)","-0.025 (0.87)","-0.13 (1.7e-36)","-0.0039 (0.31)","0.003 (1.1e-10)","0.018 (0.04)","-0.012 (2.3e-21)","0.00025 (0.85)","-0.00019 (0.68)","3.9e-06 (1)","-6.1e-05 (0.95)","0.0053 (0.26)","PKNH_1355500","PBANKA_1039400"
"PF3D7_1402000","-7.6e-06 (0.65)","0.14 (0.43)","-0.0037 (0.95)","-0.047 (7.7e-21)","-0.0087 (8.6e-08)","-0.00067 (0.0014)","-0.00033 (0.28)","-7e-04 (0.12)","6.4e-06 (2.1e-06)","-0.00054 (0.31)","3.2e-06 (1)","1.4e-05 (0.95)","1.2e-07 (1)","PKNH_1356100","PBANKA_1039900"
"PF3D7_1401900","0.044 (0.65)","-0.014 (1)","-3e-08 (1)","-0.00063 (0.54)","-0.00053 (0.43)","-5e-04 (0.4)","0.0014 (0.83)","0.43 (3.4e-47)","1.3 (2.9e-11)","-0.0012 (1)","0.31 (1)","0 (1)","0.024 (1)","PKNH_1356200","PBANKA_1040000"
